filename,length_cm,diameter_cm,weight_est_g,ratio_ld
A_01.jpg,14.832,12.274,509.607,1.2085
A_02.jpg,13.729,13.429,564.745,1.0223
A_03.jpg,14.876,13.588,626.488,1.0948
A_04.jpg,14.709,14.25,681.231,1.0322
A_05.jpg,14.391,14.241,665.694,1.0105
A_06.jpg,13.403,12.944,512.19,1.0354
A_07.jpg,13.906,13.809,604.781,1.007
A_08.jpg,13.976,13.703,598.565,1.02
A_09.jpg,14.285,12.609,517.994,1.133
A_10.jpg,12.829,12.662,469.118,1.0132
A_11.jpg,13.853,12.865,522.912,1.0768
A_12.jpg,12.935,12.538,463.805,1.0317
A_13.jpg,13.279,13.024,513.716,1.0196
A_14.jpg,13.059,12.882,494.289,1.0137
A_15.jpg,13.782,13.182,546.255,1.0455
A_16.jpg,17.047,16.35,1039.373,1.0426
A_17.jpg,17.462,16.703,1111.119,1.0454
A_18.jpg,16.324,13.853,714.471,1.1783
A_19.jpg,15.106,13.112,592.318,1.1521
A_20.jpg,15.6,14.832,782.765,1.0518
A_21.jpg,14.868,14.726,735.404,1.0096
A_22.jpg,20.479,16.156,1219.173,1.2676
A_23.jpg,19.659,17.197,1326.027,1.1432
A_24.jpg,20.991,16.438,1293.7,1.277
A_25.jpg,11.594,11.559,353.306,1.0031
A_26.jpg,12.018,10.835,321.801,1.1091
A_27.jpg,12.812,12.026,422.641,1.0653
A_28.jpg,12.697,11.603,389.875,1.0943
A_29.jpg,13.024,12.874,492.278,1.0117
A_30.jpg,13.024,12.944,497.691,1.0061
A_31.jpg,13.632,12.185,461.668,1.1188
A_32.jpg,12.75,12.644,464.915,1.0084
A_33.jpg,12.741,12.706,469.143,1.0028
A_34.jpg,13.068,12.415,459.364,1.0526
A_35.jpg,14.4,12.415,506.2,1.1599
A_36.jpg,12.706,12.574,458.148,1.0105
A_37.jpg,13.509,12.379,472.176,1.0912
A_38.jpg,12.485,12.212,424.661,1.0224
A_39.jpg,12.944,12.318,447.934,1.0509
A_40.jpg,14.338,12.865,541.23,1.1145
A_41.jpg,14.638,14.118,665.426,1.0369
A_42.jpg,14.065,13.747,606.229,1.0231
A_43.jpg,14.056,13.721,603.518,1.0244
A_44.jpg,12.3,11.903,397.466,1.0334
A_45.jpg,12.891,11.762,406.747,1.096
A_46.jpg,14.868,11.841,475.465,1.2556
A_47.jpg,14.012,11.656,434.18,1.2021
A_48.jpg,13.571,12.503,483.849,1.0854
A_49.jpg,14.647,13.138,576.648,1.1148
A_50.jpg,14.347,13.729,616.813,1.045
A_51.jpg,12.909,11.479,387.983,1.1245
A_52.jpg,14.382,13.421,590.826,1.0717
A_53.jpg,13.474,13.447,555.677,1.002
A_54.jpg,11.894,10.818,317.457,1.0995
A_55.jpg,11.718,11.356,344.642,1.0319
A_56.jpg,11.021,11.003,304.305,1.0016
A_57.jpg,11.171,10.129,261.415,1.1028
A_58.jpg,10.826,10.412,267.684,1.0398
A_59.jpg,12.062,11.832,385.159,1.0194
A_60.jpg,4.376,3.812,14.503,1.1481
A_61.jpg,4.165,3.935,14.71,1.0583
A_62.jpg,3.918,3.785,12.803,1.035
A_63.jpg,4.191,4.085,15.954,1.0259
A_64.jpg,5.153,3.891,17.795,1.3243
A_65.jpg,5.426,3.768,17.569,1.4403
A_66.jpg,4.897,4.315,20.793,1.135
A_67.jpg,5.682,3.776,18.484,1.5047
A_68.jpg,10.588,10.324,257.375,1.0256
A_69.jpg,13.818,12.194,468.621,1.1331
A_70.jpg,10.544,10.509,265.586,1.0034
B_01.jpg,11.982,10.456,298.779,1.146
B_02.jpg,13.782,10.394,339.614,1.326
B_03.jpg,14.506,10.359,355.019,1.4003
B_04.jpg,13.006,10.676,338.128,1.2182
B_05.jpg,13.226,10.359,323.706,1.2768
B_06.jpg,11.726,10.535,296.857,1.1131
B_07.jpg,13.588,10.041,312.478,1.3533
B_08.jpg,11.118,11.082,311.432,1.0032
B_09.jpg,11.382,10.129,266.371,1.1237
B_10.jpg,11.762,10.941,321.135,1.075
B_11.jpg,10.818,10.632,278.919,1.0174
B_12.jpg,10.765,10.571,274.339,1.0184
B_13.jpg,11.1,10.544,281.469,1.0527
